TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A
UR 3411*,1792,-,-,-, -,Legal (Work hire),"Ur's Neighborhood (AH), Church Lane 13?",Legal - Work hire,,,,,,T13054,,"BM 131278 = 1953-04-11, 113",UET 5 245,UET 5 245
UR 737,1791,Rim-Sin,32,-, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Administrative - Surplus (allotments),,,U 17249.09,-,UM 52-30-114,T13041,P415114,"UM 52-30-114 = U.17249,9",UET 5 226,UET 5 226
UR 913,1791,Rim-Sin,32,-, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Administrative - Surplus (allotments),,,U 16594a,-,IM 057371,T12408,P415282,IM 57371 = U.16594a,UET 5 404,UET 5 404
NIPPUR 2702,1791,Rim-Sin,32,-,2,"E-tur (Deliveries, Nam-enna)",Nippur's CRH (Penn Excav.),Administrative - Delivery (animal),,,-,-,CBS 04671,-,P230720,-,"PBS 08 /1, 066",-
NIPPUR 4410,1791,Rim-Sin,32,-,26,"E-tur (Deliveries, Animals)",Nippur's CRH (Penn Excav.),Administrative - Delivery (animal),,,-,-,CBS 03382,-,P259755,-,"PBS 08 /1, 057",-
UR 1514,1791,Rim-Sin,32,10, 30,Nanna-imah,Ur (unprov),Legal - prebend purchase,,,-,-,YBC 05415,T6284,P292718,YBC 5415,YOS 08 130,YOS 8 130
UR 1515,1791,Rim-Sin,32,10, 30,Nanna-imah,Ur (unprov),Legal - prebend purchase,,,-,-,YBC 05417,T6287,P290090,YBC 5417,YOS 08 131,YOS 8 131
NIPPUR 202,1791,Rim-Sin,32,11, -,TB - House W?: Lu-Illabrat?,"Nippur (TIM 4, purchased by S. David)",Legal - Adoption,,,-,-,IM 010893,T25342,P223277,IM 10893,TIM 04 14,TIM 4 14
UR 856,1791,Rim-Sin,32,11, 30,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Loan (silver),,,U 17249.36,"1953-04-11, 0135",BM 131300,T12355,P415229,"BM 131300 = 1953-04-11, 135 = U.17249,36",UET 5 347,UET 5 347
UR 1093,1791,Rim-Sin,32,12, -,"Administrative (expenditures, barley)","Ur's Neighborhood (AH), Paternoster Row 8-10",Administrative - expenditure (barley),,,U 16828c,-,UM 52-30-204,T12647,P415459,UM 52-30-204 = U.16828C,UET 5 585,UET 5 585
UR 857,1791,Rim-Sin,32,12,-,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Loan (silver),,,U 17249.59,"1953-04-11, 0136",BM 131301,T12356,P415230,"BM 131301 = 1953-04-11, 136 = U.17249,59",UET 5 348,UET 5 348
UR 912,1791,Rim-Sin,32,12, -,"Shumi-abum, ugula damgar","Ur's Extra-mural (EM), Quiet Street 5 or 7",Legal - Claim (sesame),,,U 17249.28,-,IM 057370,T12407,P415281,"IM 57370 = U.17249,28",UET 5 403,UET 5 403
UR 1489,1791,Rim-Sin,32,12, 30,Administrative (expenditures),"Ur (unprov., 1919)",Administrative - expenditures,,,-,-,YBC 04797,T22815,P305942,YBC 4797,YOS 05 95,YOS 5 95
UR 819,1791,Rim-Sin,32,2, 1,Legal (loan),"Ur's Neighborhood (AH), Paternoster Row 8-10",Legal - Loan (silver),,,U 16828d,-,IM 057329,T12326,P415193,IM 57329 = U.16828D,UET 5 310,UET 5 310
UR 637,1791,Rim-Sin,32,3, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Reimbursement,,,U 16596a,-,IM 057235,T12978,P415022,IM 57235 = U.16596a,UET 5 126,UET 5 126
UR 1138,1791,Rim-Sin,32,5, -,Apil-kittim,"Ur's Neighborhood (AH), Church Lane 2",Administrative - Delivery (dairy),,,U 16061l,-,UM 52-30-214,T12689,P415502,UM 52-30-214 = U.16061l,UET 5 630,UET 5 630
UR 914,1791,Rim-Sin,32,6, 1,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",legal - debt note,,,U 16595d,-,UM 52-30-160,T12410,P415283,UM 52-30-160 = U.16595d,UET 5 405,UET 5 405
UR 820,1791,Rim-Sin,32,7, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane no. 3",Legal - Claim (allotments),,,U 17249.22,-,UM 52-30-134,T12327,P415194,"UM 52-30-134 = U.17249,22",UET 5 311,UET 5 311
UR 638,1791,Rim-Sin,32,7, 22,legal (partnership),"Ur's Neighborhood (AH), Paternoster Row 8-10",Legal - Partnership,,,U 16828f,-,IM 057236,T12979,P415023,IM 57236 = U.16828F,UET 5 127,UET 5 127
UR 1477,1791,Rim-Sin,32,8, -,Administrative (receipt),"Ur (unprov., 1919)",Administrative - Delivery (silver),,,-,-,YBC 04818,T22804,P305963,YBC 4818,YOS 05 83,YOS 5 83
UR 1330,1791,Rim-Sin,32,9, -,Apil-kittim,"Ur's Neighborhood (AH), Church Lane 2",Administrative - animal record,,,U 16061f,-,IM 057590,T12876,P415692,IM 57590 = U.16061f,UET 5 822,UET 5 822
UR 1331,1791,Rim-Sin,32,9, -,Apil-kittim,"Ur's Neighborhood (AH), Church Lane 2",Administrative - animal record,,,U 16061a,-,IM 057591,T12877,P415693,IM 57591 = U.16061a,UET 5 823,UET 5 823
UR 1332,1791,Rim-Sin,32,9, -,Apil-kittim,"Ur's Neighborhood (AH), Church Lane 2",Administrative - animal record,,,U 16061b,-,IM 057592,T12878,P415694,IM 57592 = U.16061b,UET 5 824,UET 5 824
UR 821,1791,Rim-Sin,32,9, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Loan (silver),,,U 16596c ?,-,UM 52-30-135,T12328,P415195,UM 52-30-135 = U.16596f,UET 5 312,UET 5 312
NIPPUR 4800,1791,Rim-Sin,32,ki 8 kin-{d}inanna,09,"CRH (Expenditures, Asses of Enlil)",Nippur's CRH (Penn Excav.),Administrative - expenditure (barley),,,-,-,CBS 07470,-,P262471,-,"Robertson diss. p. 343, CBS 7470",-
UR 1333,1790,Rim-Sin,33,-, -,Apil-kittim,"Ur's Neighborhood (AH), Church Lane 2",Administrative - animal record,,,U 16061.2,-,IM 057593,T12880,P415695,"IM 57593 = U.16061,2",UET 5 825,UET 5 825
UR 1334,1790,Rim-Sin,33,-, -,Apil-kittim,"Ur's Neighborhood (AH), Church Lane 2",Administrative - animal record,,,U 16507a,-,IM 057594,T12881,P415696,IM 57594 = U.16507a,UET 5 826,UET 5 826
NIPPUR 4531,1790,Rim-Sin,33,-,4,"E-tur (Deliveries, Nam-enna)",Nippur's CRH (Penn Excav.),Administrative - Delivery (animal),,,-,-,CBS 04654,-,P260945,-,"PBS 08 /1, 050",-
UR 738,1790,Rim-Sin,33,1, -,Mar-ersetim (and Ya'a),"Ur's Neighborhood (AH), Church Lane 2",Legal - Boat sale,,,U 16057a,-,UM 52-30-115,T13042,P415115,UM 52-30-115 = U.16057a,UET 5 227,UET 5 227
UR 823,1790,Rim-Sin,33,10, 21,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane no. 3",Legal - Loan (shu-la),,,U 16592b,-,UM 52-30-137,T12330,P415197,UM 52-30-137 = U.16592b,UET 5 314,UET 5 314
UR 824,1790,Rim-Sin,33,10, 21,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Loan (shu-la),,,U 16592d,-,UM 52-30-138,T12331,P415198,UM 52-30-138 = U.16592d,UET 5 315,UET 5 315
